Category,PerSAM_IoU,PerSAMF_IoU,Delta
colorful_teapot,96.27,84.48,-11.789999999999992
barn,96.19,95.17,-1.019999999999996
cat2,94.72,94.05,-0.6700000000000017
berry_bowl,91.81,91.27,-0.5400000000000063
dog3,88.85,88.67,-0.1799999999999926
shiny_sneaker,97.0,96.87,-0.12999999999999545
chair,92.23,92.14,-0.09000000000000341
backpack_dog,95.85,95.76,-0.0899999999999892
dog4,95.22,95.18,-0.03999999999999204
cat,95.54,95.51,-0.030000000000001137
table,94.68,94.66,-0.020000000000010232
wolf_plushie,94.34,94.32,-0.020000000000010232
teddybear,94.63,94.61,-0.01999999999999602
duck_toy,97.31,97.31,0.0
wooden_pot,97.42,97.43,0.010000000000005116
elephant,96.05,96.07,0.01999999999999602
dog,96.79,96.81,0.01999999999999602
cat_statue,95.42,95.46,0.03999999999999204
round_bird,96.79,96.85,0.05999999999998806
dog7,93.69,93.77,0.0799999999999983
fancy_boot,95.87,95.96,0.0899999999999892
dog5,97.1,97.22,0.12000000000000455
dog2,95.66,95.79,0.13000000000000966
red_cartoon,96.96,97.11,0.15000000000000568
dog6,94.66,94.85,0.18999999999999773
thin_bird,93.72,93.96,0.23999999999999488
dog8,95.34,95.61,0.269999999999996
grey_sloth_plushie,96.37,96.64,0.269999999999996
poop_emoji,96.01,96.43,0.4200000000000017
monster_toy,93.75,94.21,0.45999999999999375
backpack,96.17,96.66,0.4899999999999949
colorful_sneaker,94.48,95.13,0.6499999999999915
tortoise_plushy,93.06,97.09,4.030000000000001
clock,90.7,94.79,4.090000000000003
bear_plushie,89.28,95.32,6.039999999999992
candle,74.16,96.76,22.60000000000001
robot_toy,60.55,96.66,36.11
rc_car,39.3,96.12,56.82000000000001
teapot,40.02,96.93,56.910000000000004
can,38.91,97.49,58.58
